id,tipo_gestion,nivel_educ_madre,iecep,one_alto_cs_nat,one_bajo_cs_nat,one_medio_cs_nat,one_alto_cs_soc,one_bajo_cs_soc,one_medio_cs_soc,one_alto_lengua,one_bajo_lengua,one_medio_lengua,one_alto_mat,one_bajo_mat,one_medio_mat,tasa_repeticion_2012,tasa_sobreedad_2012,tasa_sobreedad_avanzada_2012,promocionados_2011,salidos_sin_pase_2011,ive_2011,domiciliados_pba,extranjeros_2013,inversion_alumnos_2013
237,Privada,6.45,6.47261,0.182,0.091,0.727,0.5,0.094,0.406,0.345,0.172,0.483,0.4,0.033,0.567,1.88679,15.4717,0.377358,90.873,0,0.0777339,1.5,1.8797,25108.3
238,Privada,6.02,6.94616,0.188,0.167,0.646,0.289,0.044,0.667,0.458,0.042,0.5,0.156,0.133,0.711,1.80723,6.0241,0.301205,90.2299,0,0.0214881,1.2,2.1021,20100.7
239,Estatal,5.95,6.67115,0.319,0.149,0.532,0.299,0.09,0.612,0.53,0.076,0.394,0.222,0.148,0.63,8.26558,25.8808,4.87805,81.2139,2.63158,0.124219,12.3,4.33526,29651.3
240,Estatal,4.58,6.98988,0.167,0.125,0.708,0.299,0.103,0.598,0.506,0.059,0.435,0.27,0.09,0.64,3.74862,32.5248,6.1742,94.6575,0.136986,0.055425,2.5,8.91473,25470.7
241,Estatal,5.16,5.88889,0.333,0.104,0.563,0.211,0.193,0.596,0.315,0.148,0.537,0.317,0.067,0.617,12.4431,44.613,21.5478,70.0159,6.96662,0.284815,5.7,15.0628,39728.8
242,Privada,6.56,7.8266,0.474,0.079,0.447,0.553,0.053,0.395,0.677,0.032,0.29,0.588,0,0.412,0,3.7234,0,99.4975,0,0.00990099,0,2.60417,111530
243,Privada,5.96,6.31417,0.24,0.08,0.68,0.318,0.136,0.545,0.276,0.034,0.69,0.207,0.034,0.759,13.2353,26.9608,0.980392,76.0204,5.28846,0.239241,5.6,8.33333,23180.4
244,Privada,6.24,7.25746,0.13,0.109,0.761,0.457,0.109,0.435,0.571,0.071,0.357,0.333,0.022,0.644,0,2.5,0,92.3547,0,0.00611621,9.7,1,16173.8
245,Privada,4.91,5.86375,0.1,0.429,0.471,0.178,0.384,0.438,0.227,0.212,0.561,0.155,0.113,0.732,8.31858,17.1681,1.9469,78.6972,1.03806,0.0615022,0,2.9703,13176
246,Estatal,4.31,3.51802,0.029,0.539,0.431,0.084,0.253,0.663,0.18,0.27,0.551,0.138,0.287,0.574,47.4576,88.2897,56.6256,61.7248,30.1156,0.764409,3.3,10.0554,34330.1
247,Estatal,6.51,7.64216,0.568,0.037,0.395,0.711,0.024,0.265,0.855,0.012,0.133,0.798,0,0.202,5.4,17.6,1.8,88.3817,0,0.0925319,3.7,3.68098,19120.7
248,Estatal,4.95,6.68183,0.071,0.286,0.643,0.167,0.233,0.6,0.241,0.103,0.655,0.261,0.043,0.696,8.87574,47.8106,15.858,44.132,0,0.197557,16.5,13.3578,35249.2
249,Privada,5.78,7.27769,0.169,0.153,0.678,0.407,0.074,0.519,0.561,0.035,0.404,0.347,0.041,0.612,0,3.50877,0,90.8088,1.44404,0.0304009,0,2.62295,18398.1
250,Privada,4.27,4.35502,0.059,0.294,0.647,0,0.2,0.8,0.125,0.188,0.688,0,0.438,0.563,21.6867,67.4699,27.7108,77.4194,3.9604,0.304911,0,5.31915,24768.7
251,Estatal,4.5,5.00481,0.033,0.3,0.667,0.105,0.316,0.579,0.132,0.283,0.585,0.104,0.333,0.563,9.95851,39.6266,12.4481,74.2802,4.35572,0.185154,19.8,10.2083,21214.3
252,Privada,4.79,6.58618,0.081,0.216,0.703,0.389,0.139,0.472,0.351,0,0.649,0.059,0.206,0.735,6.04027,14.094,1.00671,84.5395,0.977199,0.0792724,33.3,2.589,18491.2
253,Privada,5.87,7.45807,0.235,0.059,0.706,0.286,0.071,0.643,0.563,0,0.438,0.286,0,0.714,2.58621,26.7241,6.89655,89.8305,0,0.0586158,0.8,3.27869,25932.8
254,Privada,4.88,7.17826,0.17,0.234,0.596,0.192,0.173,0.635,0.333,0.104,0.563,0.28,0.08,0.64,0,13.3676,0.257069,95.8763,1.54242,0.0746118,0,5.34759,20747.1
255,Estatal,4.44,4.38283,0.063,0.219,0.719,0.188,0.25,0.563,0.179,0.286,0.536,0.156,0.313,0.531,16.0944,45.279,14.1631,81.1024,5,0.296295,4.4,4.13943,22537.8
256,Estatal,4.02,3.93793,0.064,0.489,0.447,0.085,0.34,0.574,0.13,0.261,0.609,0.116,0.372,0.512,26.7133,72.4476,37.7622,67.4256,5.55556,0.374525,9.8,20.3412,22180.3
257,Estatal,4.62,4.12573,0.271,0.229,0.5,0.097,0.258,0.645,0.213,0.277,0.511,0.289,0.156,0.556,23.8701,60.3107,27.4011,71.4286,9.65986,0.386283,7.5,17.1745,42681.1
258,Privada,5.59,6.37252,0.12,0.26,0.62,0.264,0.17,0.566,0.423,0.077,0.5,0.115,0.231,0.654,1.94175,8.41424,0.323625,87.9085,0.324675,0.0282293,10.8,0.655738,19728.8
259,Privada,6.38,7.19756,0.333,0.167,0.5,0.548,0.081,0.371,0.621,0.034,0.345,0.527,0.055,0.418,2.69461,10.7784,0.898204,86.9081,0,0.0496931,0,1.44509,18627.7
260,Privada,5.82,7.62601,0.417,0.042,0.542,0.5,0.038,0.462,0.704,0,0.296,0.308,0,0.692,3.10559,22.3602,6.21118,91.6667,0,0.136135,0,9.79021,33345.1
261,Privada,5.54,6.93931,0.077,0.308,0.615,0.786,0,0.214,0.636,0.091,0.273,0.438,0,0.563,4.86111,8.33333,0.694444,85.5172,0,0.0309606,0,6.06061,15969.8
262,Privada,6.08,7.31829,0.241,0.207,0.552,0.339,0.071,0.589,0.534,0.052,0.414,0.525,0.017,0.458,2.01149,5.74713,0,90.5714,0.280112,0.0561243,0.9,3.9886,20435.3
263,Privada,5.25,5.58515,0.1,0.5,0.4,0.273,0.364,0.364,0,0.333,0.667,0,0.1,0.9,2.77778,12.5,0,98.6301,0,0.0535301,7.7,7.69231,18614.2
264,Privada,5.75,7.20969,0.25,0.1,0.65,0.522,0,0.478,0.545,0,0.455,0.174,0.13,0.696,0,5.59441,0,94.6154,0,0.0150376,0,1.3986,18874.4
265,Privada,5.05,6.36796,0.132,0.245,0.623,0.176,0.176,0.647,0.277,0.064,0.66,0.192,0.115,0.692,5.04451,23.1454,2.07715,78.4884,3.67232,0.157114,0,1.69492,18120
266,Privada,5.75,6.35249,0.412,0.176,0.412,0.467,0.067,0.467,0.4,0.067,0.533,0.188,0.125,0.688,0.884956,22.1239,1.76991,70.5357,2.67857,0.16279,0,4.46429,22284
267,Estatal,5.74,7.39658,0.308,0.256,0.436,0.541,0.033,0.426,0.639,0.016,0.344,0.672,0.034,0.293,5.13245,10.7616,1.65563,81.4332,0,0.0434524,12.3,7.07237,29887.8
268,Privada,5.53,6.50837,0.029,0.265,0.706,0.206,0.147,0.647,0.294,0.088,0.618,0.152,0.091,0.758,0,20.1465,4.7619,38.3399,0.393701,0.133781,4.4,2.96296,18308.1
269,Estatal,4.19,3.07791,0,0.667,0.333,0.125,0.25,0.625,0.048,0.381,0.571,0,0.375,0.625,34.0351,99.6491,84.5614,86.3415,26.0714,0.727396,1.6,15.0327,28403.2
270,Estatal,4.17,5.25579,0.108,0.243,0.649,0.116,0.372,0.512,0.163,0.204,0.633,0.215,0.108,0.677,33.5235,65.9058,37.3752,49.9237,10.6469,0.405743,9.6,21.519,41290.3
271,Estatal,4.89,4.28897,0.048,0.429,0.524,0.1,0.32,0.58,0.197,0.273,0.53,0.109,0.297,0.594,20.5696,59.9684,26.8987,75.7042,7.60518,0.425551,4.4,20.5128,23127.2
272,Privada,6.77,7.3878,0.333,0.143,0.524,0.333,0.048,0.619,0.545,0,0.455,0.368,0.053,0.579,0,5.40541,0,88.9764,3.81679,0.0803536,7.4,1.71429,18708.8
273,Estatal,4.26,4.60551,0.088,0.265,0.647,0.225,0.211,0.563,0.239,0.169,0.592,0.127,0.197,0.676,38.2753,73.8275,42.8139,85.2751,10.355,0.468735,8.2,28.6164,26066.9
274,Estatal,3.79,4.75992,0.041,0.388,0.571,0.077,0.462,0.462,0.111,0.185,0.704,0.044,0.367,0.589,24.3493,67.5903,30.1427,95.5335,3.01659,0.395536,15.2,15.403,29206.4
275,Estatal,4.92,4.28994,0.077,0.308,0.615,0.12,0.24,0.64,0.286,0.25,0.464,0.115,0.308,0.577,17.9054,61.1486,29.0541,69.3727,5.81818,0.394564,3.9,19.5035,25858.3
276,Privada,4.2,6.28649,0.188,0.313,0.5,0.143,0.143,0.714,0.267,0.067,0.667,0.176,0.118,0.706,8.39161,32.1678,5.59441,80.1587,0.787402,0.129274,28.5,15.4472,19084.2
277,Privada,5.6,5.74816,0.037,0.222,0.741,0,0,0,0.12,0.08,0.8,0.083,0.083,0.833,6.38298,36.5957,9.3617,85.7143,6.43777,0.270815,1.6,13.4694,19237.6
278,Privada,6.5,6.62756,0.167,0.083,0.75,0.333,0.083,0.583,0.545,0,0.455,0.333,0.083,0.583,3,12,1,85.1064,0,0.0581597,0,7.36842,66138.3
279,Privada,6.6,4.5063,0.483,0.034,0.483,0.429,0.036,0.536,0.567,0.033,0.4,0,0.067,0.367,0,4.24528,0.471698,96.9388,0,0.0125425,0.9,0.921659,63993.7
280,Privada,5.86,5.70679,0.326,0.209,0.465,0.356,0.178,0.467,0.41,0.103,0.487,0.293,0.098,0.61,5.90406,11.8081,0,92.0415,0,0.0389368,33,3.94265,17782.9
281,Privada,5.21,6.33187,0.279,0.115,0.607,0.316,0.053,0.632,0.397,0.138,0.466,0.344,0.115,0.541,7.43405,19.4245,1.91847,81.8391,2.0362,0.100857,0,3.1401,20363.9
282,Estatal,4.27,4.72157,0.044,0.422,0.533,0.133,0.244,0.622,0.256,0.233,0.512,0.047,0.372,0.581,5.61056,33.1683,6.27063,78.4722,2.04429,0.19395,23.8,20.8,33606
283,Privada,6.21,7.37887,0.324,0.147,0.529,0.184,0.053,0.763,0.556,0.083,0.361,0.343,0.057,0.6,1.49254,4.47761,0.746269,93.4959,0,0.158602,2.6,3.4188,23397.5
284,Privada,6.48,7.567,0.434,0.075,0.491,0.549,0.039,0.412,0.708,0.104,0.188,0.686,0,0.314,0,0.983607,0,100,0,0.00321543,1.4,1.0274,95653.6
285,Estatal,4.89,4.70424,0.162,0.324,0.514,0.297,0.189,0.514,0.189,0.243,0.568,0.242,0.091,0.667,32.8546,73.07,39.3178,68.1342,7.85047,0.495087,26.4,7.15596,34534.3
286,Estatal,4.08,4.96624,0.122,0.244,0.634,0.067,0.4,0.533,0.27,0.189,0.541,0.213,0.149,0.638,21.4286,58.5714,32.9762,66.8033,12.3843,0.438857,9.5,20.1448,36650.3
287,Privada,5.25,3.70503,0,0.4,0.6,0,0.333,0.667,0,0.429,0.571,0,0.286,0.714,5.65217,43.4783,14.7826,82.3529,3.78151,0.27443,0,7.85124,20392.7
288,Estatal,4.65,4.28646,0.135,0.324,0.541,0.286,0.086,0.629,0.294,0.206,0.5,0.167,0.25,0.583,25.3796,70.0651,40.1302,61.3839,6.35965,0.479671,35.9,8.51064,21699.7
289,Privada,5.26,5.92395,0.083,0.278,0.639,0.25,0.083,0.667,0.343,0.086,0.571,0.189,0.189,0.622,2.23881,28.7313,3.35821,87.6923,0,0.131708,0,5.28302,17237.6
290,Privada,6.7,5.72186,0.083,0.278,0.639,0.122,0.293,0.585,0.158,0.316,0.526,0.114,0.2,0.686,4.30622,38.2775,7.6555,92.891,0,0.0797811,0,5.6872,26406.8
291,Privada,5.69,6.30994,0.314,0.114,0.571,0.286,0.143,0.571,0.441,0.118,0.441,0.5,0.059,0.441,4.05904,15.4982,2.95203,86.7857,0,0.0671708,4,0.735294,17497.5
292,Privada,5.71,4.58997,0.103,0.552,0.345,0.1,0.433,0.467,0.074,0.556,0.37,0.207,0.103,0.69,2.43902,89.7561,9.7561,78.866,0.490196,0.0411372,43.4,1.0989,20193.2
293,Estatal,3.99,4.76629,0.033,0.41,0.557,0.118,0.196,0.686,0.092,0.338,0.569,0.018,0.304,0.679,18.1928,60.6024,24.6988,75.4579,9.16272,0.278043,19.6,24.5881,21289.1
294,Estatal,3.98,5.61957,0.1,0.283,0.617,0.186,0.136,0.678,0.108,0.154,0.738,0.118,0.176,0.706,17.5627,46.4158,15.233,59.0385,2.60708,0.241333,82.9,5.6926,23490.2
295,Privada,6.13,2.43313,0,0.583,0.417,0,0.636,0.364,0.04,0.68,0.28,0.038,0.577,0.385,0,49.5177,10.6109,97.0684,0.651466,0.168981,0,0.31746,14842.1
296,Estatal,4.19,5.23334,0.361,0.181,0.458,0.211,0.169,0.62,0.371,0.129,0.5,0.263,0.079,0.658,25.0182,59.6364,33.0182,56.3591,6.35167,0.408726,19.9,17.6779,25633.6
297,Privada,6.75,7.61826,0.571,0,0.429,0.619,0.048,0.333,0.778,0,0.222,0.636,0.045,0.318,1.55039,16.2791,0.775194,93.8462,0.757576,0.0733985,0,2.58621,27579.9
298,Privada,5.98,6.53727,0.188,0.141,0.672,0.361,0.016,0.623,0.536,0.071,0.393,0.2,0.15,0.65,2.11082,9.23483,1.05541,92.663,0.26738,0.0394414,13.7,1.07817,14063.7
299,Privada,5.71,4.29783,0,0.537,0.463,0.1,0.34,0.56,0.036,0.364,0.6,0.041,0.388,0.571,0,0,0,87.2611,0.632911,0.084527,60.8,0.96463,14319.9
300,Estatal,4.89,3.6564,0.08,0.48,0.44,0.333,0.19,0.476,0.16,0.32,0.52,0,0.375,0.625,36.0697,99.005,92.5373,62.5483,43.0588,0.71142,2.4,11.8598,25308.5
301,Privada,5.33,7.13667,0.353,0.059,0.588,0.353,0.059,0.588,0.652,0.043,0.304,0.375,0,0.625,2.5,11.875,1.25,90.4494,0.540541,0.0573257,3.5,2.7972,25340.1
302,Privada,6.49,7.01076,0.224,0.224,0.553,0.427,0.067,0.507,0.453,0.093,0.453,0.32,0.08,0.6,1.89394,5.11364,0.568182,95.098,0.195695,0.0245455,0,0.924214,18689.7
303,Privada,5.97,5.79126,0.158,0.184,0.658,0.227,0.136,0.636,0.325,0.15,0.525,0.098,0.244,0.659,1,7.33333,1,90.1361,0.671141,0.0434218,0,1.31148,15697.5
304,Privada,5.79,3.64162,0,0.548,0.452,0.152,0.485,0.364,0.103,0.414,0.483,0.118,0.441,0.441,0,13.1068,1.45631,92.4883,0.934579,0.0273358,0,1.86047,23411.7
305,Estatal,4.83,5.92635,0.229,0.271,0.5,0.14,0.281,0.579,0.193,0.175,0.632,0.214,0.143,0.643,10.5451,41.2869,25.2904,70.7477,8.13356,0.22617,21,9.44499,34052.7
306,Estatal,4.83,5.36956,0.047,0.313,0.641,0.134,0.269,0.597,0.238,0.079,0.683,0.094,0.266,0.641,19.2073,48.628,19.9695,62.8788,0,0.25561,6.5,17.7496,21198.8
307,Privada,6.23,7.13024,0.214,0.143,0.643,0.345,0.172,0.483,0.517,0.034,0.448,0.6,0.067,0.333,0.966184,2.89855,0.483092,91.6667,0.460829,0.0209339,0,0.483092,14344.5
308,Estatal,5.04,5.86089,0.163,0.286,0.551,0.164,0.164,0.672,0.324,0.088,0.588,0.091,0.242,0.667,6.4695,27.7264,6.83919,73.0453,6.22568,0.168129,28.4,5.87121,29772.7
