id,tipo_gestion,nivel_educ_madre,iecep,one_alto_cs_nat,one_bajo_cs_nat,one_medio_cs_nat,one_alto_cs_soc,one_bajo_cs_soc,one_medio_cs_soc,one_alto_lengua,one_bajo_lengua,one_medio_lengua,one_alto_mat,one_bajo_mat,one_medio_mat,tasa_repeticion_2012,tasa_sobreedad_2012,tasa_sobreedad_avanzada_2012,promocionados_2011,salidos_sin_pase_2011,ive_2011,domiciliados_pba,extranjeros_2013,inversion_alumnos_2013
138,Privada,5.27,5.00347,0,0,0,0,0,0,0.19,0.429,0.381,0.222,0.222,0.556,2.22222,14.8148,2.96296,91.5254,0.833333,0.069748,0,2.18978,20944.7
139,Privada,6.47,7.05496,0.333,0.217,0.45,0.517,0.1,0.383,0.545,0.073,0.382,0.426,0.066,0.508,0,2.64901,0,89.2405,0,0.0105485,0,0.980392,84056.1
140,Privada,5.79,6.17245,0.231,0.135,0.635,0.345,0.091,0.564,0.373,0.118,0.51,0.222,0.185,0.593,2.10843,10.5422,1.50602,90.5488,1.51515,0.0882111,0,0.566572,16252.5
141,Privada,6.04,5.18442,0.121,0.212,0.667,0.243,0.189,0.568,0.189,0.189,0.622,0.105,0.184,0.711,8.30769,27.6923,4.92308,78.135,1.54799,0.172166,1.2,1.5528,14568.4
142,Privada,6.25,7.38987,0.353,0.118,0.529,0.706,0.118,0.176,0.667,0.048,0.286,0.235,0,0.765,0,5.26316,0,97.4138,0,0.0243676,0,2.7027,99877.4
143,Estatal,4.75,2.62212,0,0.31,0.69,0.042,0.5,0.458,0.12,0.4,0.48,0,0.545,0.455,19.2073,95.7317,86.8902,57.3991,33.4385,0.639578,9.9,16.9872,24757.6
144,Privada,4.98,6.19259,0.204,0.102,0.694,0.184,0.143,0.673,0.333,0.063,0.604,0.229,0.208,0.563,1.86916,39.8754,3.11526,90.8805,1.84615,0.071751,28.2,0.588235,13695.8
145,Estatal,5.27,6.25651,0.308,0.217,0.475,0.336,0.172,0.492,0.353,0.138,0.509,0.548,0.016,0.435,13.5605,41.7246,20.7232,70.2296,5.18868,0.280002,33.4,5.79505,30039.5
146,Privada,6.06,6.31759,0.241,0.172,0.586,0.385,0.038,0.577,0.433,0.133,0.433,0.143,0.107,0.75,2.61438,38.5621,7.84314,88.4615,0,0.0984968,0,0.649351,22537.8
147,Privada,6.63,7.02903,0.28,0.12,0.6,0.269,0.154,0.577,0.5,0,0.5,0.174,0.13,0.696,0.666667,8,0,96.2963,0,0.0285494,0.6,0.636943,42377.5
148,Estatal,5.97,7.20526,0.329,0.263,0.408,0.5,0.092,0.408,0.443,0.086,0.471,0.329,0.079,0.592,8.62944,8.62944,0,91.5423,0.649351,0.0551005,6.7,4.47284,20719
149,Privada,5.43,6.9026,0.2,0.114,0.686,0.485,0.061,0.455,0.5,0.111,0.389,0.41,0.026,0.564,0,18.4332,0.921659,86.8545,0.478469,0.105567,0,5.04587,22309.6
150,Privada,6.29,7.39693,0.217,0.043,0.739,0.583,0,0.417,0.8,0,0.2,0.167,0.125,0.708,0,5.37634,0,88.764,0,0.0155093,5.3,4.25532,53337.5
151,Estatal,4.97,6.44988,0.152,0.238,0.61,0.275,0.138,0.587,0.302,0.125,0.573,0.185,0.13,0.685,12.3724,29.9745,7.65306,71.995,1.20919,0.129112,21.2,4.7619,21478.6
152,Estatal,6.24,7.29704,0.356,0.091,0.553,0.613,0,0.387,0.527,0.016,0.457,0.513,0.009,0.478,6.36605,27.1883,3.31565,76.4869,0.272851,0.117739,9.2,3.52304,22511.1
153,Estatal,4.73,4.77748,0.101,0.406,0.493,0.26,0.219,0.521,0.254,0.183,0.563,0.123,0.329,0.548,12.8333,78.1667,39.3333,60.9881,8.81459,0.331145,72.6,5.50622,23241.2
154,Estatal,5.57,6.67509,0.333,0.114,0.553,0.391,0.078,0.53,0.315,0.081,0.605,0.489,0.007,0.504,7.86713,31.993,8.82867,75.8165,4.65116,0.237766,5.5,6.30473,36125.9
155,Privada,6.42,7.41375,0.44,0.066,0.495,0.6,0.011,0.389,0.5,0.067,0.433,0.548,0.032,0.419,0,0.436681,0,96.0168,0,0.00694444,0.2,1.08225,28947.3
156,Privada,6.51,7.04249,0.265,0.147,0.588,0.405,0.135,0.459,0.519,0,0.481,0.44,0.1,0.46,3.97727,8.52273,0.852273,85.0877,2.55682,0.0649546,0,2.88714,27302.6
157,Privada,6.74,7.62986,0.28,0.12,0.6,0.216,0.176,0.608,0.5,0.021,0.479,0.51,0.02,0.469,0,0.96463,0,99.6575,0,0.00229095,2.7,2.43161,24302.6
158,Estatal,5.45,6.73268,0.325,0.117,0.558,0.365,0.095,0.541,0.532,0.039,0.429,0.333,0.043,0.623,8.37004,33.9207,14.978,77.9259,2.73381,0.191889,7.9,2.64797,22492
159,Privada,5.81,5.18259,0.135,0.459,0.405,0.171,0.22,0.61,0.108,0.297,0.595,0.132,0.237,0.632,3.79747,23.2068,2.95359,85.4167,1.67364,0.115081,2,1.60643,21772.7
160,Privada,5.65,6.66087,0.185,0.177,0.637,0.241,0.233,0.526,0.317,0.098,0.585,0.316,0.07,0.614,4.6133,17.6391,2.7137,89.1852,0.877193,0.09417,0,0.552486,15491.6
161,Estatal,5.38,6.91972,0.533,0.067,0.4,0.312,0.119,0.569,0.51,0.039,0.451,0.516,0.024,0.46,8.19543,26.7139,7.64381,73.4352,1.07143,0.184711,40,4.12621,27245.8
162,Privada,6.63,6.42775,0.471,0.235,0.294,0.5,0.063,0.438,0.5,0,0.5,0.467,0.133,0.4,2.23881,12.6866,0,92.1875,0,0.0768229,5.1,2.18978,24258.2
163,Estatal,4.83,5.87989,0.324,0.088,0.588,0.267,0.167,0.567,0.423,0.115,0.462,0.486,0.086,0.429,24.5922,63.1117,36.8883,64.6325,11.5012,0.370973,9.6,13.394,38884.3
164,Privada,6.07,7.32235,0.205,0.154,0.641,0.3,0.075,0.625,0.513,0.026,0.462,0.258,0.032,0.71,11.9658,18.3761,0.854701,88.3817,0.409836,0.0982555,0.4,4.44444,22147.9
165,Privada,5.59,6.36929,0.07,0.256,0.674,0.298,0.106,0.596,0.283,0.13,0.587,0.229,0.063,0.708,8.52459,19.3443,2.29508,80,1.54799,0.107473,0,2.0339,17143.8
166,Privada,5.3,5.66911,0.2,0.2,0.6,0.571,0,0.429,0.571,0,0.429,0.167,0.333,0.5,0.952381,16.1905,0.952381,87.037,1.81818,0.10002,5.6,6.74157,30118.6
167,Estatal,3.35,2.89,0,0.34,0.66,0.038,0.509,0.453,0.042,0.438,0.521,0,0.435,0.565,21.0938,70.5078,35.9375,64.5545,13.6519,0.498043,11.4,16.4969,24769.5
168,Privada,5.8,6.54883,0.143,0,0.857,0.143,0.286,0.571,0.571,0,0.429,0.143,0.143,0.714,2.73349,5.01139,0.22779,86.5882,0.462963,0.0446203,0,0.656455,17338.1
169,Estatal,3.95,1.39442,0.053,0.737,0.211,0,0.579,0.421,0.042,0.542,0.417,0,0.652,0.348,22.8571,82.449,41.6327,82.8571,18,0.625004,11.8,3.78151,27123.9
170,Privada,6.59,7.49193,0.583,0.125,0.292,0.5,0,0.5,0.682,0.045,0.273,0.409,0,0.591,0,2.89855,0,96.5986,0,0.00900901,0.7,1.34228,26088.5
171,Privada,6.53,5.50808,0.2,0.333,0.467,0.176,0.176,0.647,0.333,0.25,0.417,0.067,0.2,0.733,0.990099,31.6832,2.9703,90.2913,3.77358,0.172264,0,4.0404,28110.3
172,Privada,5,5.27823,0,0.167,0.833,0.091,0.273,0.636,0,0.25,0.75,0,0.091,0.909,10.1796,28.7425,10.1796,80.6667,1.30719,0.094998,2.3,7.9096,14696.2
173,Privada,6.54,6.60509,0.188,0,0.813,0.063,0.063,0.875,0.625,0,0.375,0.125,0.188,0.688,1.34228,24.8322,0,80.9524,0.666667,0.057924,0,3.33333,21004.5
174,Privada,6.29,7.52071,0.318,0.045,0.636,0.506,0.011,0.483,0.477,0.045,0.477,0.429,0.011,0.56,0.444444,1.55556,0,97.2281,0,0.00580674,0,0.692841,23692.8
175,Estatal,5,6.39929,0.297,0.132,0.571,0.28,0.13,0.59,0.33,0.13,0.54,0.42,0.01,0.57,13.3127,43.6533,16.7183,75.705,7.50751,0.27704,15,8.91204,29093.8
176,Privada,6.12,7.06944,0.3,0.083,0.617,0.522,0.06,0.418,0.766,0.031,0.203,0.433,0.03,0.537,2.66393,12.0902,1.02459,89.6476,0.43573,0.0939136,8.6,1.72786,20954.9
177,Privada,6.19,6.91161,0.3,0.171,0.529,0.391,0.116,0.493,0.559,0.074,0.368,0.338,0.092,0.569,1.65289,12.1212,1.92837,89.9457,0.8,0.0575643,1,1.55844,20485.2
178,Estatal,5.83,5.98083,0.276,0.133,0.59,0.432,0.153,0.414,0.486,0.133,0.381,0.286,0.152,0.562,11.8081,30.0738,6.45756,71.2996,4.30293,0.225489,2.5,5.20646,22665.5
179,Privada,6.53,6.11676,0.167,0.167,0.667,0.368,0.105,0.526,0.45,0.15,0.4,0.278,0.167,0.556,20.3883,44.6602,8.73786,74,0,0.267361,11.4,4.7619,27699.4
180,Privada,5.44,7.10621,0.2,0.229,0.571,0.453,0.094,0.453,0.454,0.052,0.495,0.383,0.106,0.511,0.155763,2.18069,0,93.4579,0,0.00685777,39.9,0.913242,13071
181,Estatal,4.69,6.65225,0.08,0.12,0.8,0.333,0.111,0.556,0.44,0.04,0.52,0.423,0.077,0.5,20.315,54.6457,19.2126,75.7042,4.75382,0.198292,20,8.53659,19156
182,Privada,6.35,7.45797,0.243,0.243,0.514,0.114,0.143,0.743,0.583,0,0.417,0.5,0,0.5,0.920245,5.21472,0,93.0233,0.334448,0.0255053,5.7,0.285714,22929.8
183,Privada,5.95,6.10567,0.1,0.2,0.7,0.167,0.167,0.667,0.6,0,0.4,0.25,0.167,0.583,10.8225,28.1385,9.95671,88.2653,15.812,0.44898,0,5.4902,27772.3
184,Privada,4.72,5.82875,0.132,0.275,0.593,0.237,0.108,0.656,0.347,0.112,0.541,0.281,0.125,0.594,13.2371,38.7485,13.1167,69.5601,2.50569,0.222487,0,5.75117,14350.9
185,Estatal,4.93,5.57347,0.106,0.277,0.617,0.143,0.276,0.582,0.239,0.114,0.648,0.095,0.189,0.716,26.4835,51.6483,23.5165,80.8535,1.97585,0.322377,4.4,13.3333,24745.8
186,Privada,5.37,4.13488,0.156,0.25,0.594,0.207,0.414,0.379,0.242,0.212,0.545,0.065,0.258,0.677,24.2754,74.2754,28.6232,70.0337,9.32476,0.512522,0,6.66667,16371.2
187,Privada,6,7.25872,0.214,0.214,0.571,0.395,0.079,0.526,0.667,0.053,0.28,0.382,0.066,0.553,2.82828,10.101,0.20202,92.0477,0,0.0343771,5.2,0.772201,16234.5
188,Privada,5.9,6.51863,0.275,0.203,0.522,0.234,0.172,0.594,0.359,0.078,0.563,0.278,0.153,0.569,2.32558,12.5581,1.86047,88.9888,0,0.038864,4.8,2.73973,18912.8
189,Privada,6.29,7.34445,0.253,0.177,0.57,0.39,0.091,0.519,0.561,0.024,0.415,0.299,0.026,0.675,1.53846,7.25275,0.21978,97.1897,0,0.031686,7.1,2.08768,21405.3
190,Privada,6.5,7.47741,0.415,0.117,0.468,0.442,0.063,0.495,0.48,0.092,0.429,0.604,0.01,0.385,0,0.910747,0,85.8456,0.184162,0.00326322,0.4,0.729927,17625.6
191,Estatal,4.81,5.47119,0.176,0.279,0.544,0.093,0.241,0.667,0.167,0.222,0.611,0.143,0.186,0.671,8.5177,25.3319,8.40708,72.2345,1.2035,0.143539,13.4,5.75,17792.3
192,Privada,5.51,6.45977,0.157,0.235,0.608,0.352,0.111,0.537,0.519,0.056,0.426,0.151,0.189,0.66,2.41935,9.67742,1.6129,91.3165,0.826446,0.0503419,0,2.25989,16767.1
193,Privada,6.71,7.391,0.295,0.045,0.659,0.4,0.067,0.533,0.535,0,0.465,0.432,0.068,0.5,2.83401,4.8583,0.809717,67.5325,0,0.0218085,2.2,0.869565,22537.2
194,Privada,4.71,6.50817,0.227,0.258,0.515,0.319,0.042,0.639,0.362,0.072,0.565,0.265,0.103,0.632,4.15704,17.0901,4.38799,85.5392,2.86396,0.106939,0,2.42718,16852.1
195,Estatal,4.08,5.08763,0.069,0.276,0.655,0.143,0.179,0.679,0.259,0.185,0.556,0.103,0.172,0.724,23.9631,54.8387,29.0323,59.75,2.5522,0.339658,7.2,12.7404,29168.9
196,Estatal,3.7,4.04252,0,0.537,0.463,0.1,0.34,0.56,0.036,0.364,0.6,0.041,0.388,0.571,17.1429,48.5714,18.6555,69.898,1.49254,0.217046,18.5,29.7907,29161.5
197,Estatal,3.69,5.13539,0.085,0.17,0.745,0.235,0.216,0.549,0.24,0.2,0.56,0.151,0.127,0.8,21.6749,57.0813,33.4975,60.4603,12.3171,0.379306,22,23.7256,27096.2
198,Privada,5.74,6.60906,0.262,0.167,0.571,0.143,0.119,0.738,0.381,0,0.619,0.171,0.171,0.659,4.87013,8.11688,0.649351,84.5638,0,0.0599891,0,1.94175,19482.1
199,Privada,5.79,5.72513,0.154,0.231,0.615,0.293,0,0.707,0.361,0.181,0.458,0.173,0.173,0.653,4.3659,22.0374,2.2869,93.3333,1.12108,0.154056,4,0.840336,17726.2
200,Privada,6.62,7.06098,0.36,0.12,0.52,0.593,0.037,0.37,0.708,0.021,0.271,0.404,0.038,0.558,0,11.7438,0.711744,84.1549,0.346021,0.03325,3.1,3.40136,29087.3
201,Privada,5.19,5.70917,0.147,0.294,0.559,0.118,0.382,0.5,0.2,0.143,0.657,0.094,0.188,0.719,8.75,28.3333,3.33333,82.9384,1.40187,0.152196,3.1,3.10078,17608.3
202,Privada,6.63,7.40175,0.438,0.063,0.5,0.735,0,0.265,0.75,0,0.25,0.441,0,0.559,0.549451,5.49451,0.549451,99.4253,0,0.035221,0,1.11111,30243.9
203,Estatal,6.15,7.15519,0.423,0.033,0.545,0.508,0,0.492,0.644,0.023,0.333,0.394,0.03,0.576,9.85915,23.3568,6.22066,85.6977,0,0.13885,2.2,2.29469,19479.3
204,Estatal,5.45,6.69404,0.226,0.129,0.645,0.276,0.103,0.621,0.448,0.069,0.483,0.233,0.133,0.633,11.8227,31.5271,7.88177,67.2043,4.0201,0.163599,31.3,1.28755,41095.7
205,Estatal,2.84,2.24329,0.067,0.667,0.267,0,0.486,0.514,0.036,0.393,0.571,0.061,0.545,0.394,20.9302,83.7209,65.3277,62.9808,22.7915,0.62109,1.1,18.4685,30991.1
